geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.1911414 12.9720719),,,C K Selvam Super Store,supermarket,Chennai,600091,Medavakkam Main Road,,,Mo-Su 09:00-21:00,,80.1911414,12.972071899999996
POINT (80.1905786 12.9709195),More,Q6910891,More,supermarket,Chennai,600091,Mount - Medavakkam Road,,1,Mo-Su 09:00-21:00,,80.1905786,12.9709195
POINT (80.2188896 12.9716144),,,Sri Kannan Super Stores,supermarket,,,,,,,,80.2188896,12.971614399999996
POINT (80.240596 13.044123),More,Q6910891,More,supermarket,,,,,,,,80.240596,13.044123
POINT (80.183571 13.0469663),,,Grace Supermarket,supermarket,,,,,,,,80.183571,13.0469663
POINT (80.2061677 13.0853781),,,Santhosh Supermarket,supermarket,,,,,,,,80.2061677,13.085378099999996
POINT (80.2547228 13.0309488),,,,supermarket,,600018,Abhiramapuram 4th Street,https://www.terraearthfood.com,39,Mo-Su 08:30-20:30,,80.2547228,13.0309488
POINT (80.2640619 12.9945334),,,Alchemy Media Marketing,supermarket,Chennai,600090,Rukmani Road,https://alchemy-media-marketing.com,56/16,Mo-Fr 09:00-17:00,,80.2640619,12.994533399999996
POINT (80.2014918 13.1255155),,,Venkateshwara fruit shop,supermarket,,,,,,,,80.2014918,13.1255155
POINT (80.2017441 13.126522),,,Reliance super market,supermarket,,,,,,,,80.2017441,13.126521999999998
POINT (80.216663 12.9911157),Big Bazaar,Q3631008,Big Bazaar,supermarket,,,,,,,,80.216663,12.9911157
POINT (80.2210455 13.0077889),,,TecEx India Private Limited,supermarket,Chennai,600032,"Little Mount, Kotturpuram",https://tecex.com/,2669+M7G,Mon - Thu 8:00-18:00; Fri 8:00 - 17:00,,80.2210455,13.007788899999998
