geometry,addr:postcode,amenity,healthcare,name,addr:district,addr:full,addr:state,source,website,addr:block,addr:street,longitude,latitude
POINT (80.2086724 13.0390564),600083,hospital,hospital,Orthopedic and Specialities Hospital,Chennai,"No. 25, 10Th Avenue, Ashoknagar",Tamil Nadu,OpenGovernmentData,,,,80.2086724,13.039056400000002
POINT (80.2537027 12.9996223),600020,hospital,hospital,Padmapriya Hospital Pvt. Ltd.,Chennai,"No. -28, 1st Avenue, Indira Nagar, Adyar",Tamil Nadu,OpenGovernmentData,,,,80.2537027,12.9996223
POINT (80.2235084 13.0122123),624601,hospital,,Palani Balaji Fertility Centre,Dindigul,"4/12A, Anna Nagar,Palani",Tamil Nadu,OpenGovernmentData,,,,80.2235084,13.012212299999996
POINT (80.2126005 13.0420391),600083,hospital,hospital,Pallava Hospital,Chennai,"No.19A, Next To Bhuari Hotel, Ashok Nagar, First Avenue",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.21260050000001,13.042039099999998
POINT (80.1835965 12.9801472),600061,hospital,hospital,Pankajam Memorial Hospital,Kanchipuram,"C3, Hindu Colony, Nanganallur",Tamil Nadu,OpenGovernmentData,,,,80.1835965,12.9801472
POINT (80.2523656 13.060131),600006,hospital,hospital,Apollo Childrens Hospital,Chennai,"No.15, Thousand Lights, Shafee Mohammed Road",Tamil Nadu,OpenGovernmentData,https://www.apollohospitals.com/Apollo_Children/,,,80.2523656,13.060130999999997
POINT (80.2337551 13.0356881),600017,hospital,hospital,Anuradha Maternity Centre,Chennai,"31,Dhandapani Street,T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2337551,13.0356881
POINT (80.2511633 13.0919709),600012,hospital,hospital,Shri Balaji Hospital - Chennai,Chennai,"No-36, Brickkiln Road Near Abirani Theatre",Tamil Nadu,OpenGovernmentData,,,,80.2511633,13.091970899999998
POINT (80.222632 13.0710341),600026,hospital,hospital,Tamil Nadu Urological Research Centre,Chennai,"No.76,Nelson Manickam Road, Aminjikaral",Tamil Nadu,OpenGovernmentData,,,,80.222632,13.071034100000004
POINT (80.3018933 13.1577727),600019,hospital,hospital,Sss Hospital,Tiruvallur,"No: 924, T H Road Near Ellaiamman Koil",Tamil Nadu,OpenGovernmentData,,,,80.3018933,13.1577727
POINT (80.2300054 13.0517176),600024,hospital,hospital,"Thulasi Krishna Nursing Home, Kodambakkam",Chennai,"# 5, First Street, Taylors Estate, Kodambakkam",Tamil Nadu,OpenGovernmentData,,,,80.2300054,13.0517176
POINT (80.3032967 13.1652175),600019,hospital,hospital,"Sugam Hospital, Tiruvallur",Tiruvallur,"#349, ,Thiruvottiyur High Road,Thiruvottiyur",Tamil Nadu,OpenGovernmentData,,,,80.3032967,13.1652175
POINT (80.2382156 13.074266),600031,hospital,hospital,Dr. Agarwal's Eye Hospital,Chennai,"No. 11, M C. Nichols Road, 4Th Lane, Opposite To Chetpet Police Station Chetpet",Tamil Nadu,OpenGovernmentData,,,,80.23821560000002,13.074266
POINT (80.2244673 13.0850183),600102,hospital,hospital,Selvarangam Hospital,Chennai,"C-54, 1 St Main Road, Anna Nagar East, Near Chinthamani Supermarket",Tamil Nadu,OpenGovernmentData,,,,80.2244673,13.085018299999998
POINT (80.2505444 13.0670837),600006,hospital,hospital,"Sankara Nethralaya, Chennai",Chennai,"(A Unit Of Medical Research Foundation)41/18, College Road, Nungambakkam",Tamil Nadu,OpenGovernmentData,,,,80.2505444,13.0670837
POINT (80.1846506 13.0449677),600087,hospital,hospital,Royal Hospital - Chennai,Tiruvallur,"1, Jawaharlal Nehru Street, Valasarawakkam, Alwarthirunagar",Tamil Nadu,OpenGovernmentData,,,,80.1846506,13.0449677
POINT (80.1715896 13.0309126),600116,hospital,,Viganesh Hospital,Kanchipuram,"36, Poothapedu Main Road, Vengadeswar Nagar, Perur",Tamil Nadu,OpenGovernmentData,,,,80.1715896,13.0309126
POINT (80.2461429 12.9640779),600096,hospital,,Sri Lakshmi Multi Speciality Hospital Pvt Ltd,Kanchipuram,"5/91, Church Road, Perungudi, Near Andrew Yulex Colony, Chengalpattu",Tamil Nadu,OpenGovernmentData,,,,80.2461429,12.964077899999998
POINT (80.2270764 13.1135903),600082,hospital,hospital,Dr Agarwal Eye Hospital Ltd,Chennai,"B-63, Siva Elango Salai (70 Feet Road), Periyar Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2270764,13.113590299999998
POINT (80.3043053 13.1665521),600019,hospital,hospital,Karthik Hospital,Tiruvallur,"No 727 To 730, T H Road, T S R Nagar,Thiruvottiyur Chennai",Tamil Nadu,OpenGovernmentData,,,,80.3043053,13.166552099999995
POINT (80.1749497 13.0834455),600037,hospital,hospital,Spandana Surgical Centre,Tiruvallur,"Swarnapuri-Ground Floor, 6/13, J.J.Nagar West",Tamil Nadu,OpenGovernmentData,,,,80.1749497,13.083445499999998
POINT (80.2424652 13.0827016),600010,hospital,hospital,Tosh Hospitals Private Limited,Chennai,"No.34/72, Ormes Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2424652,13.082701599999998
POINT (80.2366224 13.07604),600010,hospital,hospital,Sundaram Cancer Centre,Chennai,"Flat1/B,Ii Floor,Old#No191,New#297,Precision Diagnostics Complex,Periyar Evr Salai(P.H.Road)Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2366224,13.07604
POINT (80.2040416 13.0483992),600093,hospital,hospital,R.R. Eye Instutute and Laser Foundation,Chennai,"37, Arunachalam Road",Tamil Nadu,OpenGovernmentData,,,,80.2040416,13.048399200000002
POINT (80.2637114 13.0441485),600004,hospital,hospital,Avm Medical Ent Research Foundation Pvt Ltd,Chennai,"3, P S Sivasami Salai Mylapore",Tamil Nadu,OpenGovernmentData,https://avmmerf.in/contact.php,,,80.2637114,13.0441485
POINT (80.2486159 13.0806801),600010,hospital,hospital,"Aditya Hospital, Chennai",Chennai,"7, Barnaby Road",Tamil Nadu,OpenGovernmentData,https://www.adityahospital.co.in/,,,80.2486159,13.0806801
POINT (80.2371521 13.0430125),600017,hospital,hospital,Laser and Laparascopic Hospital,Chennai,No.121 G.N.Chetty Road,Tamil Nadu,OpenGovernmentData,https://www.drashokchennai.com/,,,80.2371521,13.043012499999996
POINT (80.2528444 12.9938673),600020,hospital,hospital,Lakshmi Maternity Hospital,Chennai,"New No.10, Old No.20, 3Road Avenue, Indira Nagar, Adyar",Tamil Nadu,OpenGovernmentData,,,,80.2528444,12.993867299999998
POINT (80.2490893 13.0790289),600010,hospital,hospital,Kumaran Hospital Pvt.Ltd.,Chennai,"214, E.V.R.Periyar Salai, Poonamalee High Road, Periyar Salai",Tamil Nadu,OpenGovernmentData,https://kumaranhospitals.com/Index.html,,,80.2490893,13.0790289
POINT (80.1996361 13.1217887),600099,hospital,hospital,D R J Hospital P. Ltd.,Tiruvallur,"No: 9, 100 Feet Road, Nehru National Highway, Kolathur",Tamil Nadu,OpenGovernmentData,,,,80.1996361,13.121788700000002
POINT (80.1619336 13.0381353),600116,hospital,,"Dr Agarwals Eye Hospital Ltd, Chennai",Kanchipuram,"No 49, Aruot Road Porur Porur Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1619336,13.038135300000002
POINT (80.2711008 13.0177957),600028,hospital,,Apollo Specialty Hospitals Private Limited,Chennai,"No.41/42, 53/54, Sathyadev Avenue, Mrc Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2711008,13.0177957
POINT (80.2423476 13.0877615),600010,hospital,hospital,Deepam Eye Hospital,Chennai,"72, Medavakkam Tank Road, Near Jamai Mosque",Tamil Nadu,OpenGovernmentData,http://www.deepameyehospital.com/,,,80.2423476,13.0877615
POINT (80.2579902 13.0685338),600008,hospital,hospital,Dr. A. Ramachandran's Diabetes Hospital,Chennai,"28, Marshalls Road Egmore",Tamil Nadu,OpenGovernmentData,,,,80.2579902,13.068533800000004
POINT (80.1822808 13.0353484),600089,hospital,,"Srushti Hospital, Kanchipuram",Kanchipuram,"No.1, Padmavathy Street, Thirumalai, Ramapuram",Tamil Nadu,OpenGovernmentData,,,,80.1822808,13.035348399999998
POINT (80.2182426 13.0843952),600041,hospital,hospital,Veecare Eye Hospital,Thiruvallur,"4/579, Chennai, 4/579 Rajiv Gandhi Salai",Tamil Nadu,OpenGovernmentData,,,,80.2182426,13.0843952
POINT (80.2114016 12.9763914),600042,hospital,hospital,Velachery K S Hospital,Chennai,"No.14, 10Th Cross Street , A.G.S.Colony, Velachery",Tamil Nadu,OpenGovernmentData,,,,80.2114016,12.9763914
POINT (80.25267 13.0790015),600084,hospital,hospital,K.J. Hospital,Chennai,"New-182, Old-927, Poonamalee High Road, Flower Road",Tamil Nadu,OpenGovernmentData,http://kjhospital.net/kjhospital/Welcome.aspx,,,80.25267,13.0790015
POINT (80.2336198 13.0440365),600017,hospital,hospital,Sathya Physiotherapy Centre,Chennai,"24,Coats Road, T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2336198,13.044036499999995
POINT (80.2469368 13.0788382),600010,hospital,hospital,Kensington Hospital,Chennai,"856,Poonamallee High Road, Kilpauk",Tamil Nadu,OpenGovernmentData,,,,80.2469368,13.078838200000002
POINT (80.2061465 12.9925116),600088,hospital,,Ponmalligai Hospital Pvt Ltd,Kanchipuram,"#1, Kakkan Nagar 1st Main Road, Adambakkam",Tamil Nadu,OpenGovernmentData,,,,80.2061465,12.992511600000002
POINT (80.2290894 13.0389519),600017,hospital,hospital,Pdr Othopaedic Hospital,Chennai,"35, Rangan Street, Behind Grt, T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2290894,13.0389519
POINT (80.2706811 13.0427786),600004,hospital,hospital,E V Kalyani Medical Centre,Chennai,4Second Street Dr Radhakrishnan Road Mylapore,Tamil Nadu,OpenGovernmentData,,,,80.2706811,13.0427786
POINT (80.2631588 13.0269877),600028,hospital,,Yogi Vedha Kumari Hospital,Chennai,"Near Central Bank (Bus Stop), Mandaveli, Devanathan St",Tamil Nadu,OpenGovernmentData,,Chennai Zone Ix,,80.2631588,13.0269877
POINT (80.2181782 12.9833895),600042,hospital,hospital,Xcellent Care Superspeciality Hospital,Chennai,"7/14, 7Th Cross Street, Rajalakshmi Nagar, Velachery",Tamil Nadu,OpenGovernmentData,,,,80.2181782,12.9833895
POINT (80.2329075 13.0478465),600017,hospital,hospital,Women and Children Foundation,Chennai,"4 / 1 & 4/2 , Porur Somasundaram, North Usman Road T Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2329075,13.047846500000002
POINT (80.2541493 13.0791504),600013,hospital,hospital,"Sudha Hospital, Chennai",Chennai,"51/18, Adam Sahib Street, Pumping Station Road, Roya Puram",Tamil Nadu,OpenGovernmentData,,,,80.2541493,13.0791504
POINT (80.2522811 13.0816938),600084,hospital,hospital,V.K. Hospital,Chennai,"No.77, Dr. Alagappa Road, Purasawalkam",Tamil Nadu,OpenGovernmentData,,,,80.2522811,13.0816938
