geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.2472772 13.0027082),atm,,,,,,,,,,,,,,,,,,80.2472772,13.0027082
POINT (80.1951837 13.0930233),atm,,,,,,,,,,24/7,State Bank Of India,,,,,,,80.1951837,13.093023299999995
POINT (80.2240652 13.0109174),atm,TMB,,,,,,,,,,,,,,,,,80.2240652,13.0109174
POINT (80.2272635 13.0123058),atm,,,,,,,,,,,SBI,,,,,,,80.2272635,13.012305799999998
POINT (80.2398815 12.9835304),atm,,,,,,,,,,24/7,State Bank of India,,,,,,,80.2398815,12.9835304
POINT (80.2398756 12.9834963),atm,,,,,,,,,,24/7,Canara bank,,,,,,,80.2398756,12.9834963
POINT (80.2398615 12.9834645),atm,,,,,,,,,,24/7,HDFC bank,,,,,,,80.2398615,12.983464499999998
POINT (80.2519849 13.0789921),atm,IndusInd Bank,,Q2040323,,,,,,,24/7,IndusInd Bank,,Q2040323,,,,,80.2519849,13.0789921
POINT (80.2278391 13.0742264),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,केनरा बैंक,,80.2278391,13.0742264
POINT (80.193973 13.0572628),atm,City Union Bank,City Union Bank,Q2040264,,,,,,,,City Union Bank,,Q2040264,,,सिटी यूनियन बैंक,,80.193973,13.057262800000002
POINT (80.1934222 13.0561049),atm,Punjab National Bank,,Q2743499,,,,,,,,Punjab National Bank,,Q2743499,,,,,80.1934222,13.0561049
POINT (80.193294 13.0559135),atm,State Bank of India,,Q1340361,,,,,,,,State Bank of India,,Q1340361,,,,,80.193294,13.0559135
POINT (80.2208448 12.9749173),atm,State Bank of India,,Q1340361,,,,,,,,State Bank of India,,Q1340361,,,,,80.2208448,12.974917299999998
POINT (80.2612686 13.0772816),atm,,,,,,,,,,,City union bank,,,,,,,80.2612686,13.0772816
POINT (80.2744086 13.0830094),atm,Indian Overseas Bank,,,,,,,,,,Indian Overseas Bank,,Q2003611,,,,,80.2744086,13.0830094
POINT (80.2184609 13.0844642),atm,Canara Bank,Canara Bank,,,,,,,,24/7,Canara Bank,,Q2003777,,,केनरा बैंक,,80.2184609,13.0844642
POINT (80.2683163 13.0346076),atm,Yes Bank,,Q2040394,,,,yes,,,,Yes Bank,,Q2040394,,,,,80.2683163,13.034607599999998
POINT (80.1953162 13.0661424),atm,State Bank of India,,Q1340361,,,no,yes,,,24/7,State Bank of India,,Q1340361,,,,,80.1953162,13.0661424
POINT (80.2031823 13.0715766),atm,,,,,,,,,,,Punjab National Bank,,,,,,,80.2031823,13.071576599999998
POINT (80.2257857 13.0737964),atm,,,,,,,,,,,HDFC,,,,,,,80.2257857,13.0737964
POINT (80.2257538 13.0733455),atm,,,,,,,,,,,SBI,,,,,,,80.2257538,13.0733455
